alpha_vs_alla,alpha_vs_csi800,benchmark_alla_1m,benchmark_csi800_1m,board_chinext,board_main,board_star,portfolio_profile,raw_return_1m,rebalance_date,score_col,strategy_name,target_count,targets,cum_ret,cum_csi800,cum_excess_csi800
-0.02492360584437847,-0.031171655282378197,-0.0077665927819907665,-0.0015185512602329254,8.0,1.0,1.0,industry_top10,-0.032690197229385376,2025-03-03,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"300803.XSHE,300015.XSHE,300136.XSHE,301269.XSHE,300604.XSHE,688390.XSHG,300567.XSHE,300059.XSHE,300474.XSHE,002625.XSHE",0.04799652883469796,0.026256969622457493,0.021868158776847668
-0.001940202317200601,-0.0002365797699894756,-0.01975426822900772,-0.021457891911268234,1.0,9.0,0.0,industry_top10,-0.021694473922252655,2025-04-01,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"600000.XSHG,600208.XSHG,000825.XSHE,300070.XSHE,601818.XSHG,000932.XSHE,600170.XSHG,601992.XSHG,603728.XSHG,601186.XSHG",0.025260795469282282,0.004235658495113093,0.021626405442884744
0.00010762437887024134,0.001318659633398056,0.002642516978085041,0.001431483426131308,2.0,3.0,4.0,industry_top10,0.002750141080468893,2025-05-06,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"300803.XSHE,300033.XSHE,688525.XSHG,688008.XSHG,689009.XSHG,688278.XSHG,601100.XSHG,688578.XSHG,600418.XSHG,000539.XSHE",0.02808040730109651,0.0056732051961789765,0.022973582944155746
0.1383073627948761,0.1455366015434265,0.030223330482840538,0.022994088008999825,4.0,3.0,3.0,industry_top10,0.1685306876897812,2025-06-03,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"300803.XSHE,688017.XSHG,300033.XSHE,300476.XSHE,300394.XSHE,688521.XSHG,002625.XSHE,002653.XSHE,688617.XSHG,600418.XSHG",0.20134350534394074,0.028797743384752827,0.17185368167455062
0.008193260990083218,0.016451722010970116,0.04324720799922943,0.03498874604701996,8.0,0.0,2.0,industry_top10,0.05144046992063522,2025-07-01,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"688582.XSHG,300857.XSHE,300033.XSHE,300024.XSHE,300212.XSHE,688017.XSHG,301165.XSHE,300383.XSHE,300058.XSHE,300474.XSHE",0.2631411797949361,0.06479408636178907,0.19113269268299216
0.1172134056687355,0.10910899937152863,0.10960137099027634,0.11770577728748322,6.0,0.0,4.0,industry_top10,0.22681477665901184,2025-08-01,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"300033.XSHE,688318.XSHG,300857.XSHE,688017.XSHG,300024.XSHE,688525.XSHG,300059.XSHE,300207.XSHE,300383.XSHE,688027.XSHG",0.5496402643789253,0.1901265019481191,0.32109598890034796
0.022271642461419106,0.011320323683321476,0.04729943722486496,0.05825074762105942,5.0,2.0,3.0,industry_top10,0.06957108527421951,2025-09-01,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"300212.XSHE,688568.XSHG,688017.XSHG,300857.XSHE,002653.XSHE,688297.XSHG,300765.XSHE,300458.XSHE,300059.XSHE,603728.XSHG",0.6574504193563957,0.2594522604502332,0.33605122311143765
-0.033026665449142456,-0.03076298162341118,0.005640706047415733,0.0033770189620554447,0.0,10.0,0.0,industry_top10,-0.027385961264371872,2025-10-09,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"600000.XSHG,600739.XSHG,600153.XSHG,601169.XSHG,000709.XSHE,600048.XSHG,600104.XSHG,600339.XSHG,000959.XSHE,601006.XSHG",0.6120595463742846,0.26370545461557726,0.29495030388692456
-0.001978409243747592,0.001767838723026216,-0.0069921910762786865,-0.010738438926637173,4.0,0.0,6.0,industry_top10,-0.008970598690211773,2025-11-03,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"300033.XSHE,688256.XSHG,688318.XSHG,688702.XSHG,300757.XSHE,688017.XSHG,301165.XSHE,688506.XSHG,688778.XSHG,300765.XSHE",0.5975984071190361,0.2501352307699296,0.2972395671785304
0.14437207579612732,0.1447456181049347,0.04966263100504875,0.04928908124566078,5.0,3.0,2.0,industry_top10,0.19403471052646637,2025-12-01,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"301165.XSHE,300757.XSHE,688521.XSHG,600183.XSHG,300395.XSHE,300803.XSHE,300033.XSHE,002281.XSHE,002837.XSHE,688183.XSHG",0.9075879515819221,0.31175324772741164,0.4850093101599646
-0.05615253373980522,-0.043011363595724106,-0.0070796143263578415,-0.020220790058374405,4.0,3.0,3.0,industry_top10,-0.06323216110467911,2026-01-05,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"688256.XSHG,688041.XSHG,300803.XSHE,300308.XSHE,688318.XSHG,300450.XSHE,300274.XSHE,601006.XSHG,601166.XSHG,601229.XSHG",0.7869670429061493,0.28522856069672486,0.42113703477763886
-0.0025037466548383236,-0.00047752680256962776,0.025503728538751602,0.02347750961780548,0.0,10.0,0.0,industry_top10,0.02299998328089714,2026-02-02,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"601169.XSHG,600000.XSHG,600585.XSHG,601333.XSHG,601006.XSHG,600177.XSHG,600655.XSHG,600820.XSHG,000709.XSHE,601800.XSHG",0.8280672550165049,0.31540252659156054,0.42045840375340826
0.013338523916900158,0.012762971222400665,-0.03902819752693176,-0.038452643901109695,1.0,9.0,0.0,industry_top10,-0.02568967267870903,2026-03-02,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,10,"601916.XSHG,601186.XSHG,601818.XSHG,601333.XSHG,600177.XSHG,000898.XSHE,600585.XSHG,000709.XSHE,600528.XSHG,300070.XSHE",0.7811048056004648,0.2648218216499152,0.4385876734831302
